"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"316",316,316,3433070885,"Female","30-44","5'8""",FALSE,"$100,000 - $149,999","Bachelor degree","New England","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,2,0,3,0
"317",317,317,3433070481,"Female","45-60","5'3""",FALSE,NA,"Bachelor degree","West South Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","No","No","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Very","Somewhat","Twice",FALSE,FALSE,1,2,NA,3,0,0,0
"318",318,318,3433068348,"Male","30-44","5'11""",FALSE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a year or less","Never",TRUE,"Very",TRUE,"Somewhat","Somewhat","Somewhat","Very","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","Three times",FALSE,FALSE,0,3,NA,2,1,0,0
"319",319,319,3433066014,"Female","30-44","5'3""",TRUE,"$50,000 - $99,999","Bachelor degree","Middle Atlantic","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,0,1,NA,2,0,3,0
"320",320,320,3433065951,"Female","30-44","5'4""",TRUE,"$100,000 - $149,999","Bachelor degree","Mountain","Once a year or less","About half the time",FALSE,"No",TRUE,"Somewhat","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The person in aisle","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,0,1,NA,2,0,2,0
"321",321,321,3433065628,"Male","18-29",NA,NA,"$0 - $24,999","Some college or Associate degree","West South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"322",322,322,3433061705,"Male","> 60","5'9""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","Once a year or less","About half the time",TRUE,"No",FALSE,"Somewhat","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,4,1,2,0
"323",323,323,3433060473,NA,NA,"6'3""",FALSE,NA,NA,NA,"Once a month or less","About half the time",TRUE,"Somewhat",TRUE,"Somewhat","No","Somewhat","Somewhat",NA,NA,"The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",NA,NA,9,2,NA,NA,NA,2,0
"324",324,324,3433060186,"Female","> 60","5'8""",FALSE,"$0 - $24,999","Bachelor degree","Mountain","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","Very","Other (please specify)","Other (please specify)","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,4,0,3,0
"325",325,325,3433059796,"Female","45-60","5'5""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,3,0,2,0
"326",326,326,3433058854,NA,NA,NA,NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"327",327,327,3433058367,"Male","18-29",NA,NA,"$50,000 - $99,999","Some college or Associate degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"328",328,328,3433056786,"Female","45-60","5'4""",FALSE,NA,"Bachelor degree","South Atlantic","Once a year or less","Never",FALSE,"No",FALSE,"No","No","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,1,1,NA,3,0,0,0
"329",329,329,3433056614,"Female","30-44",NA,NA,"$0 - $24,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"330",330,330,3433055279,"Female","45-60",NA,NA,"$0 - $24,999","Bachelor degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,0,NA,0
"331",331,331,3433048675,"Female","> 60","5'10""",FALSE,"$100,000 - $149,999","Bachelor degree","East North Central","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,4,0,1,0
"332",332,332,3433047339,"Male","> 60","5'8""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","Once a year or less","Once in a while",TRUE,"Very",TRUE,"Somewhat","Somewhat","No","No","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",FALSE,FALSE,0,3,NA,4,1,1,0
"333",333,333,3433047308,"Male","30-44","6'0""",TRUE,"$50,000 - $99,999","Graduate degree","East North Central","Once a month or less","About half the time",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","More than five times times",TRUE,FALSE,0,1,NA,2,1,2,0
"334",334,334,3433046738,"Female","30-44","5'7""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,2,0,2,0
"335",335,335,3433046022,"Male","45-60","5'7""",FALSE,"$25,000 - $49,999","Some college or Associate degree","East North Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,4,0
"336",336,336,3433045463,"Female","45-60","5'5""",FALSE,"$50,000 - $99,999","Bachelor degree","Middle Atlantic","A few times per month","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Somewhat","Three times",FALSE,FALSE,0,1,NA,3,0,4,1
"337",337,337,3433044521,"Female","45-60","5'6""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Three times",TRUE,FALSE,0,1,NA,3,0,4,0
"338",338,338,3433042186,"Male","18-29","5'7""",FALSE,"$0 - $24,999","Some college or Associate degree","Pacific","Once a year or less","Once in a while",TRUE,"Very",TRUE,"Very","Very","Very","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Very","Very","It is not okay to get up during flight",FALSE,FALSE,0,3,NA,1,1,1,0
"339",339,339,3433041420,"Female","45-60","5'5""",FALSE,"$25,000 - $49,999","High school degree","South Atlantic","Once a year or less","Always",TRUE,"No",FALSE,"Very","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Very","No","Twice",FALSE,FALSE,0,1,NA,3,0,4,0
"340",340,340,3433040924,"Female","45-60","5'9""",FALSE,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"Somewhat","No","No","No","No","Very","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,0,2,NA,3,0,1,0
"341",341,341,3433040828,NA,NA,"5'8""",FALSE,NA,NA,NA,"Once a year or less","Once in a while",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,0
"342",342,342,3433040639,"Female","30-44","5'4""",FALSE,NA,"Some college or Associate degree","Pacific","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","More than five times times",FALSE,FALSE,1,1,NA,2,0,2,0
"343",343,343,3433040502,"Male","30-44","6'0""",TRUE,NA,"Bachelor degree","Mountain","Once a year or less","Usually",TRUE,"No",FALSE,"Somewhat","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Very","No","Four times",FALSE,FALSE,1,1,NA,2,1,3,0
"344",344,344,3433040208,NA,NA,"5'11""",NA,NA,NA,NA,"Once a year or less","Never",TRUE,"Very",TRUE,NA,NA,NA,NA,NA,NA,"The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","Three times",NA,NA,14,3,NA,NA,NA,0,0
"345",345,345,3433038916,"Male","18-29","5'2""",FALSE,"$0 - $24,999","Graduate degree","West South Central","Once a year or less","Usually",FALSE,"Somewhat",FALSE,"Somewhat","Somewhat","Somewhat","Very","Somewhat","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",TRUE,FALSE,0,2,NA,1,1,3,0
"346",346,346,3433038337,"Female","> 60","5'4""",FALSE,NA,"High school degree","Pacific","Once a year or less","Never",TRUE,"Very",TRUE,"No","No","Somewhat","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,1,3,NA,4,0,0,0
"347",347,347,3433038245,"Male","45-60","6'0""",FALSE,NA,"Some college or Associate degree","New England","Once a year or less","About half the time",FALSE,"No",FALSE,"No","No","No","Somewhat","Very","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,1,1,NA,3,1,2,0
"348",348,348,3433036321,"Female","30-44","5'2""",FALSE,"$25,000 - $49,999","Some college or Associate degree","West North Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Very","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,2,NA,2,0,0,0
"349",349,349,3433036205,"Male","> 60",NA,NA,"$50,000 - $99,999","Graduate degree","West South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,NA,0
"350",350,350,3433032917,"Male","> 60","5'8""",FALSE,"$25,000 - $49,999","Graduate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,3,0
"351",351,351,3433026928,"Male","45-60","5'11""",TRUE,NA,"Graduate degree","Middle Atlantic","Once a month or less","Once in a while",FALSE,"No",FALSE,"No","No","No","Very","No","Somewhat","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,1,1,NA,3,1,1,0
"352",352,352,3433024395,"Female","> 60",NA,NA,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,0,NA,0
"353",353,353,3433024187,"Male","45-60","6'0""",FALSE,NA,"Graduate degree","East South Central","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","No","Somewhat","Other (please specify)","Other (please specify)","Everyone in the row should have some say","No","Somewhat","Four times",FALSE,FALSE,1,2,NA,3,1,1,0
"354",354,354,3433020399,"Female","> 60","5'0""",FALSE,NA,"Some college or Associate degree","West North Central","Once a year or less","Always",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,1,NA,4,0,4,0
"355",355,355,3433018911,"Female","45-60","5'0""",FALSE,"$100,000 - $149,999","Some college or Associate degree","West North Central","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,3,0,0,0
"356",356,356,3433016483,"Female","45-60","5'6""",FALSE,NA,"Bachelor degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,1,1,NA,3,0,4,0
"357",357,357,3433011754,"Female","> 60","5'7""",FALSE,"$100,000 - $149,999","Graduate degree","Pacific","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","No","No","No","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,0,3,0
"358",358,358,3433010954,"Female","45-60",NA,NA,"$50,000 - $99,999","High school degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,0,NA,0
"359",359,359,3433010053,"Female","30-44",NA,NA,"$50,000 - $99,999","High school degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"360",360,360,3433006165,"Male","45-60","5'8""",FALSE,"$100,000 - $149,999","Some college or Associate degree","East South Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,3,1,3,0
"361",361,361,3433005536,"Female","> 60","5'7""",FALSE,"$50,000 - $99,999","Graduate degree","New England","Once a year or less","Once in a while",TRUE,"No",TRUE,"Somewhat","Somewhat","No","No","No","No","The arm rests should be shared","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,1,NA,4,0,1,0
"362",362,362,3433003776,"Male","30-44","5'10""",FALSE,"$25,000 - $49,999","Graduate degree","West South Central","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,2,1,3,0
"363",363,363,3433003301,"Female","30-44","5'4""",TRUE,NA,"Some college or Associate degree","Mountain","Once a year or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","No","No","No","No","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,1,1,NA,2,0,2,0
"364",364,364,3433000796,"Female","45-60","5'5""",TRUE,"$100,000 - $149,999","Graduate degree","West North Central","Once a year or less","About half the time",TRUE,"Somewhat",TRUE,"Somewhat","Somewhat","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,0,2,NA,3,0,2,0
